route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,final_departure_time,final_stop_id,shape_dist_traveled,first_arrival_time,duration,route_short_name,next_arrival_time,time_waiting,is_port_authority_stop,is_incomplete_100th,is_incomplete_99th,is_incomplete_95th,is_incomplete_90th
63,5,12810,190 NEW YORK VIA SECAUCUS,0,190WY053,1090,0 days 20:01:00,43274,19.2093,0 days 18:45:00,0 days 01:16:00,190,0 days 20:24:00,0 days 00:23:00,1,1.0,1.0,0.0,0.0
63,4,12524,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY054,1048,0 days 16:57:00,43274,19.1958,0 days 15:21:00,0 days 01:36:00,190,,,1,0.0,0.0,0.0,0.0
63,5,12766,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY054,1088,0 days 16:57:00,43274,19.1958,0 days 15:21:00,0 days 01:36:00,190,,,1,0.0,0.0,0.0,0.0
63,4,12614,190 NEW YORK VIA SECAUCUS,0,190WY055,1058,0 days 16:20:00,43274,16.6044,0 days 15:21:00,0 days 00:59:00,190,0 days 16:36:00,0 days 00:16:00,1,1.0,1.0,0.0,0.0
63,4,12530,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY055,1048,0 days 19:53:00,43274,19.1958,0 days 18:30:00,0 days 01:23:00,190,0 days 20:12:00,0 days 00:19:00,1,1.0,1.0,0.0,0.0
63,5,12861,190 NEW YORK VIA SECAUCUS,0,190WY055,1098,0 days 16:20:00,43274,16.6044,0 days 15:21:00,0 days 00:59:00,190,0 days 16:36:00,0 days 00:16:00,1,1.0,1.0,0.0,0.0
63,5,12773,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY055,1088,0 days 19:53:00,43274,19.1958,0 days 18:30:00,0 days 01:23:00,190,0 days 20:12:00,0 days 00:19:00,1,1.0,1.0,0.0,0.0
63,6,12502,190 NEW YORK VIA SECAUCUS,0,190WY056,1045,0 days 22:39:00,43274,19.2093,0 days 21:40:00,0 days 00:59:00,190,0 days 23:00:00,0 days 00:21:00,1,1.0,1.0,0.0,0.0
63,4,12603,190 NEW YORK VIA SECAUCUS,0,190WY058,1055,0 days 16:26:00,43274,14.4178,0 days 15:32:00,0 days 00:54:00,190,0 days 16:50:00,0 days 00:24:00,1,0.0,0.0,0.0,0.0
63,4,12564,190 NEW YORK VIA SECAUCUS,0,190WY058,1050,0 days 19:34:00,43274,19.2093,0 days 18:15:00,0 days 01:19:00,190,,,1,0.0,0.0,0.0,0.0
63,5,12850,190 NEW YORK VIA SECAUCUS,0,190WY058,1095,0 days 16:26:00,43274,14.4178,0 days 15:32:00,0 days 00:54:00,190,0 days 16:50:00,0 days 00:24:00,1,0.0,0.0,0.0,0.0
63,5,12809,190 NEW YORK VIA SECAUCUS,0,190WY058,1090,0 days 19:34:00,43274,19.2093,0 days 18:15:00,0 days 01:19:00,190,,,1,0.0,0.0,0.0,0.0
63,4,12525,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY059,1048,0 days 17:12:00,43274,19.1958,0 days 15:36:00,0 days 01:36:00,190,0 days 17:50:00,0 days 00:38:00,1,0.0,0.0,0.0,0.0
63,5,12767,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY059,1088,0 days 17:12:00,43274,19.1958,0 days 15:36:00,0 days 01:36:00,190,0 days 17:50:00,0 days 00:38:00,1,0.0,0.0,0.0,0.0
66,4,13146,192 NEW YORK,0,190WY060,1136,0 days 16:09:00,43274,13.34,0 days 15:40:00,0 days 00:29:00,192,0 days 16:59:00,0 days 00:50:00,1,0.0,0.0,0.0,0.0
63,4,12607,190 NEW YORK VIA SECAUCUS,0,190WY060,1055,0 days 17:56:00,43274,14.4178,0 days 16:59:00,0 days 00:57:00,190,0 days 18:21:00,0 days 00:25:00,1,0.0,0.0,0.0,0.0
66,5,13247,192 NEW YORK,0,190WY060,1148,0 days 16:09:00,43274,13.34,0 days 15:40:00,0 days 00:29:00,192,0 days 16:59:00,0 days 00:50:00,1,0.0,0.0,0.0,0.0
63,5,12854,190 NEW YORK VIA SECAUCUS,0,190WY060,1095,0 days 17:56:00,43274,14.4178,0 days 16:59:00,0 days 00:57:00,190,0 days 18:21:00,0 days 00:25:00,1,0.0,0.0,0.0,0.0
63,4,12604,190 NEW YORK VIA SECAUCUS,0,190WY061,1055,0 days 16:40:00,43274,14.4178,0 days 15:45:00,0 days 00:55:00,190,0 days 17:12:00,0 days 00:32:00,1,1.0,1.0,1.0,1.0
63,4,12531,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY061,1048,0 days 20:18:00,43274,19.1958,0 days 19:00:00,0 days 01:18:00,190,0 days 21:00:00,0 days 00:42:00,1,1.0,1.0,1.0,1.0
63,4,12536,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY061,1048,0 days 23:05:00,43274,19.1958,0 days 22:00:00,0 days 01:05:00,190,0 days 23:20:00,0 days 00:15:00,1,1.0,1.0,1.0,1.0
63,5,12851,190 NEW YORK VIA SECAUCUS,0,190WY061,1095,0 days 16:40:00,43274,14.4178,0 days 15:45:00,0 days 00:55:00,190,0 days 17:12:00,0 days 00:32:00,1,1.0,1.0,1.0,1.0
63,5,12774,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY061,1088,0 days 20:18:00,43274,19.1958,0 days 19:00:00,0 days 01:18:00,190,0 days 21:00:00,0 days 00:42:00,1,1.0,1.0,1.0,1.0
63,5,12779,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY061,1088,0 days 23:05:00,43274,19.1958,0 days 22:00:00,0 days 01:05:00,190,0 days 23:20:00,0 days 00:15:00,1,1.0,1.0,1.0,1.0
66,4,13147,192 NEW YORK VIA UNION CITY,0,190WY062,1137,0 days 17:01:00,43274,13.3646,0 days 16:20:00,0 days 00:41:00,192,0 days 17:30:00,0 days 00:29:00,1,0.0,0.0,0.0,0.0
66,5,13248,192 NEW YORK VIA UNION CITY,0,190WY062,1149,0 days 17:01:00,43274,13.3646,0 days 16:20:00,0 days 00:41:00,192,0 days 17:30:00,0 days 00:29:00,1,0.0,0.0,0.0,0.0
63,4,12561,190 NEW YORK VIA SECAUCUS,0,190WY063,1050,0 days 17:49:00,43274,19.2093,0 days 16:21:00,0 days 01:28:00,190,0 days 18:21:00,0 days 00:32:00,1,1.0,1.0,0.0,0.0
63,4,12535,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY063,1048,0 days 22:25:00,43274,19.1958,0 days 21:20:00,0 days 01:05:00,190,0 days 22:45:00,0 days 00:20:00,1,1.0,1.0,0.0,0.0
63,5,12806,190 NEW YORK VIA SECAUCUS,0,190WY063,1090,0 days 17:49:00,43274,19.2093,0 days 16:21:00,0 days 01:28:00,190,0 days 18:21:00,0 days 00:32:00,1,1.0,1.0,0.0,0.0
63,5,12778,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY063,1088,0 days 22:25:00,43274,19.1958,0 days 21:20:00,0 days 01:05:00,190,0 days 22:45:00,0 days 00:20:00,1,1.0,1.0,0.0,0.0
63,4,12528,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY067,1048,0 days 18:40:00,43274,19.1958,0 days 17:04:00,0 days 01:36:00,190,0 days 19:15:00,0 days 00:35:00,1,0.0,0.0,0.0,0.0
63,5,12770,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY067,1088,0 days 18:40:00,43274,19.1958,0 days 17:04:00,0 days 01:36:00,190,0 days 19:15:00,0 days 00:35:00,1,0.0,0.0,0.0,0.0
63,4,12567,190 NEW YORK VIA SECAUCUS,0,190WY068,1050,0 days 20:58:00,43274,19.2093,0 days 19:45:00,0 days 01:13:00,190,0 days 21:24:00,0 days 00:26:00,1,1.0,1.0,1.0,0.0
63,4,12537,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY068,1048,0 days 23:45:00,43274,19.1958,0 days 22:40:00,0 days 01:05:00,190,1 days 00:00:00,0 days 00:15:00,1,1.0,1.0,1.0,0.0
63,5,12812,190 NEW YORK VIA SECAUCUS,0,190WY068,1090,0 days 20:58:00,43274,19.2093,0 days 19:45:00,0 days 01:13:00,190,0 days 21:24:00,0 days 00:26:00,1,1.0,1.0,1.0,0.0
63,5,12780,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY068,1088,0 days 23:45:00,43274,19.1958,0 days 22:40:00,0 days 01:05:00,190,1 days 00:00:00,0 days 00:15:00,1,1.0,1.0,1.0,0.0
63,4,12562,190 NEW YORK VIA SECAUCUS,0,190WY069,1050,0 days 18:56:00,43274,19.2093,0 days 17:28:00,0 days 01:28:00,190,,,1,0.0,0.0,0.0,0.0
63,5,12807,190 NEW YORK VIA SECAUCUS,0,190WY069,1090,0 days 18:56:00,43274,19.2093,0 days 17:28:00,0 days 01:28:00,190,,,1,0.0,0.0,0.0,0.0
63,5,12771,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY070,1088,0 days 19:06:00,43274,19.1958,0 days 17:32:00,0 days 01:34:00,190,0 days 19:40:00,0 days 00:34:00,1,0.0,0.0,0.0,0.0
63,7,12496,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY070,1042,0 days 19:06:00,43274,19.1958,0 days 17:32:00,0 days 01:34:00,190,0 days 19:40:00,0 days 00:34:00,1,0.0,0.0,0.0,0.0
63,6,12501,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY071,1044,0 days 19:06:00,43274,19.1958,0 days 17:32:00,0 days 01:34:00,190,0 days 19:40:00,0 days 00:34:00,1,1.0,1.0,1.0,0.0
63,6,12503,190 NEW YORK VIA SECAUCUS,0,190WY071,1045,1 days 00:10:00,43274,19.2093,0 days 23:15:00,0 days 00:55:00,190,1 days 00:30:00,0 days 00:20:00,1,1.0,1.0,1.0,0.0
63,4,12532,190 NEW YORK VIA SECAUCUS & UNION CITY,0,190WY072,1048,0 days 20:48:00,43274,19.1958,0 days 19:30:00,0 days 01:18:00,190,0 days 21:12:00,0 days 00:24:00,1,1.0,1.0,1.0,1.0
63,4,12570,190 NEW YORK VIA SECAUCUS,0,190WY072,1050,0 days 23:19:00,43274,19.2093,0 days 22:20:00,0 days 00:59:00,190,0 days 23:40:00,0 days 00:21:00,1,1.0,1.0,1.0,1.0
